N_type_carrier
153.98
153.12
152.66
148.18
123.6
111.34
107.15
252.45
214.03
175.57
137.15
109.29
85.68
74.93
66.26
57.53
50.99
46.53
39.99
630.61
558.19
456.02
351.72
287.8
221.73
183.3
161.87
125.53
108.38
95.45
61.24
613.61
543.33
436.9
343.24
275.02
219.6
179.03
149.12
123.42
104.1
91.18
76.1
197.43
155.37
122.52
103.44
82.06
70.98
56.55
49.03
43.75
40.74
277.99
241.69
214.58
192.08
170.69
150.57
138.29
121.65
110.49
101.74
283.78
248.54
221.41
195.48
173
155.1
140.52
124.95
108.25
94.85
331
289.95
249.12
212.81
190.25
162.02
137.2
108.95
96.78
86.78
302.2
265.91
235.26
196.7
169.53
143.51
120.98
98.56
84.07
70.67
152.64
130.28
102.34
77.15
60.35
47.67
36.42
29.33
22.23
17.92
230.4
209.41
191.22
170.23
150.63
128.25
115.59
101.56
87.51
76.26
212.36
188.59
169.01
150.77
135.36
119.9
103.05
91.82
83.34
70.72
291.52
259.44
216.22
175.76
143.66
122.65
107.25
89.03
79.19
67.93
274.86
228.87
200.94
175.78
147.86
121.27
101.71
83.51
69.47
59.61
26.56
25.14
23.78
17.4
13.18
650
556
480
420
359
305
263
221
711
612
526
455
385
336
292
250
680
608
509
436
378
317
263
216
597
503
410
316
257
192
147
122
225.44
187.58
170.18
148.68
130.26
119
102.63
92.4
234.65
202.92
178.36
160.97
141.52
125.15
105.7
100.21
91.37
233.63
200.88
175.29
165.36
157.9
136.4
129.36
121.05
119.57
109.8
101.57
94.44
229.53
200.88
175.29
152.78
136.4
120.02
104.67
101.87
92.4
241.81
205.99
181.43
168.45
150.73
143.58
131.29
125.85
114.91
109.54
103.66
95.25
88.3
420
300
360
177
14
86
129
115
130
138
156
172.962
195.443
283.427
301.718
341.147
467.62
334.25
286.45
263.33
247.14
227.86
191.63
178.52
222.7
133.4
96.17
71.17
53.82
39.55
565.55
350.75
217.05
152.29
105.86
65.56
539.53
341.57
220.14
149.24
99.75
77.81
0.000989
0.000912
0.000722
0.000623
0.00222
0.002
0.00203
